City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Khor,RU,89.76,few clouds,47.8861,134.9464,Gostinitsa Deksi
361,Kerema,PG,79.0,broken clouds,-7.9631,145.7785,Frena Lodge
363,Auki,SB,80.42,scattered clouds,-8.7676,160.7034,Auki Motel
367,Ibra,OM,88.3,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
368,Georgiyevka,KZ,82.44,clear sky,43.0369,74.7114,Gostinitsa Imperiya
374,Vanimo,PG,86.22,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
377,Linkou,CN,81.95,overcast clouds,45.3,130.2833,Yueliang Resort
380,Mogadishu,SO,75.81,light rain,2.0371,45.3438,Hotel Juba
382,Victoria,HK,88.32,light rain,22.2855,114.1577,Mini Hotel Central
384,Tala,EG,75.4,clear sky,30.6803,30.9429,مصطفى اشرف
389,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
391,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
392,San Fernando,PH,87.15,overcast clouds,15.0286,120.6898,Maharlika Hostel
395,Manokwari,ID,84.33,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
396,Nouakchott,MR,76.93,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
397,Yuanping,CN,81.66,clear sky,38.7153,112.7575,Yuanping Xinghe Guesthouse
398,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
402,Karditsa,GR,84.67,clear sky,39.3656,21.9217,Domotel Arni Historic Hotel Karditsa Greece
403,Tautira,PF,78.01,clear sky,-17.7333,-149.15,Pension Oaoa
404,Ensley,US,86.54,clear sky,30.5188,-87.2728,Holiday Inn Express & Suites Pensacola W I-10
411,Beirut,LB,86.38,clear sky,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
413,Nakamura,JP,87.3,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
420,Pasni,PK,82.38,overcast clouds,25.2631,63.471,Kashmiri Hotal
422,Naze,JP,80.56,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
426,Texarkana,US,79.02,broken clouds,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
427,Dakar,SN,81.48,broken clouds,14.6937,-17.4441,Redface Studios Meublés
428,Altus,US,75.27,scattered clouds,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
429,Marsh Harbour,BS,83.88,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
439,Tahe,CN,75.22,clear sky,52.3333,124.7333,塔河宾馆
