City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Kodiak,US,57.79,-152.4072,54.91,94,90,0.0,mist
130,Khatanga,RU,71.9667,102.5,71.94,46,87,5.5,overcast clouds
131,Komyshnya,UA,50.1859,33.684,73.63,65,46,7.52,scattered clouds
132,Lavrentiya,RU,65.5833,-171.0,40.57,90,100,17.34,moderate rain
133,Boa Vista,BR,2.8197,-60.6733,75.18,88,90,3.44,overcast clouds
134,Tokur,RU,53.1333,132.9,56.44,99,100,2.53,light rain
135,Kruisfontein,ZA,-34.0033,24.7314,55.89,96,94,5.21,moderate rain
136,Kaitangata,NZ,-46.2817,169.8464,52.93,72,100,4.81,overcast clouds
137,Biak,ID,-0.9131,122.8766,82.51,70,16,5.21,few clouds
138,Yenagoa,NG,4.9247,6.2642,73.6,93,31,3.47,scattered clouds
139,Deputatskiy,RU,69.3,139.9,56.5,41,7,12.84,clear sky
140,Denpasar,ID,-8.65,115.2167,80.26,89,75,18.41,broken clouds
141,Mildmay,CA,44.0501,-81.1164,60.44,92,14,5.32,few clouds
142,Bilma,NE,18.6853,12.9164,88.2,14,8,3.36,clear sky
143,San Patricio,US,28.017,-97.5169,86.09,74,1,13.15,clear sky
144,Rantepao,ID,-2.9701,119.8978,76.35,85,88,2.91,overcast clouds
145,Oum Hadjer,TD,13.2954,19.6966,74.35,80,100,9.31,overcast clouds
146,Gayny,RU,60.3071,54.3241,63.3,76,100,5.97,overcast clouds
147,Najran,SA,17.4924,44.1277,80.44,43,84,11.99,broken clouds
148,Muramatsu,JP,37.6833,139.1833,96.22,42,3,6.53,clear sky
149,Teknaf,BD,20.8624,92.3058,80.51,87,96,7.34,overcast clouds
150,Visby,SE,57.6409,18.296,60.85,88,75,2.3,broken clouds
151,Wilmington,US,34.2257,-77.9447,75.11,96,20,4.61,light rain
152,Vestmannaeyjar,IS,63.4427,-20.2734,53.42,88,86,6.93,overcast clouds
153,Lompoc,US,34.6391,-120.4579,66.78,79,1,6.91,clear sky
154,Srednekolymsk,RU,67.45,153.6833,47.73,48,99,8.21,overcast clouds
155,Xuddur,SO,4.1213,43.8894,69.19,81,76,19.15,broken clouds
156,Komsomolskiy,UZ,40.4272,71.7189,83.12,34,11,4.61,few clouds
157,Santa Cruz,BO,-17.8,-63.1667,69.26,30,75,12.66,broken clouds
158,Vanavara,RU,60.34,102.2797,75.6,36,55,9.35,broken clouds
159,Grafton,US,42.207,-71.6856,66.49,87,90,5.75,overcast clouds
160,Hauterive,FR,46.0901,3.4459,55.09,81,98,3.15,overcast clouds
161,Coquimbo,CL,-29.9533,-71.3436,51.53,100,90,12.66,fog
162,Saldanha,ZA,-33.0117,17.9442,54.79,87,27,7.14,scattered clouds
163,Tuktoyaktuk,CA,69.4541,-133.0374,48.7,92,100,4.38,overcast clouds
164,Ribeira Grande,PT,38.5167,-28.7,72.72,95,24,11.34,few clouds
165,Bouar,CF,5.934,15.596,62.69,96,100,2.59,overcast clouds
166,Cidreira,BR,-30.1811,-50.2056,53.33,94,3,4.97,clear sky
167,Mahebourg,MU,-20.4081,57.7,68.25,66,3,14.79,clear sky
168,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,90,55,9.06,broken clouds
169,Sao Joao Da Barra,BR,-21.6403,-41.0511,64.49,73,59,4.97,broken clouds
170,Camocim,BR,-2.9022,-40.8411,76.62,60,47,10.71,scattered clouds
171,Bushehr,IR,28.9684,50.8385,95.09,49,3,1.05,clear sky
172,Varhaug,NO,58.6147,5.6457,53.15,74,66,24.34,broken clouds
173,Mayo,US,38.8876,-76.5119,71.87,94,40,1.99,scattered clouds
174,Weligama,LK,5.9667,80.4167,82.83,73,81,11.48,broken clouds
175,Dingle,PH,10.9995,122.6711,89.44,62,98,16.67,overcast clouds
176,Itarema,BR,-2.9248,-39.9167,75.11,63,41,8.12,scattered clouds
177,Narsaq,GL,60.9167,-46.05,57.42,98,100,2.73,moderate rain
178,Constantine,DZ,36.365,6.6147,67.78,86,26,3.33,scattered clouds
179,Storslett,NO,69.7678,21.0247,46.4,81,40,5.75,scattered clouds
180,Salinas,US,36.6777,-121.6555,67.15,77,1,8.05,clear sky
181,Saint-Quentin,FR,49.8333,3.3333,56.16,96,22,4.81,few clouds
182,Sana,YE,15.3547,44.2067,65.7,63,100,2.77,overcast clouds
183,Richards Bay,ZA,-28.783,32.0377,68.41,73,95,16.17,overcast clouds
184,Begoro,GH,6.3871,-0.3774,65.91,97,45,2.93,scattered clouds
185,Meadow Lake,US,34.8014,-106.5436,75.52,59,15,11.36,few clouds
186,Grindavik,IS,63.8424,-22.4338,52.56,93,75,6.91,broken clouds
187,Salamiyah,SY,35.0113,37.0532,76.8,55,0,7.94,clear sky
188,Torbay,CA,47.6666,-52.7314,59.27,92,75,14.97,broken clouds
189,Ciudad Bolivar,VE,8.1222,-63.5497,76.14,84,99,4.36,overcast clouds
190,Strezhevoy,RU,60.7333,77.5889,58.98,62,100,9.51,overcast clouds
191,Xining,CN,36.6167,101.7667,78.94,37,58,9.04,broken clouds
192,Takoradi,GH,4.8845,-1.7554,74.34,92,6,5.14,clear sky
193,Jackson,US,42.4165,-122.8345,80.47,61,1,4.61,clear sky
194,Canutama,BR,-6.5339,-64.3831,72.52,54,7,1.3,clear sky
195,Dikson,RU,73.5069,80.5464,42.73,98,99,9.84,overcast clouds
196,Norman Wells,CA,65.282,-126.8329,80.01,41,3,4.34,clear sky
197,Bambous Virieux,MU,-20.3428,57.7575,68.22,65,5,14.74,clear sky
198,Beyneu,KZ,45.3167,55.2,92.77,13,0,11.92,clear sky
199,Katsuura,JP,35.1333,140.3,87.91,83,84,10.85,broken clouds
200,Touba,CI,8.2833,-7.6833,67.84,97,57,2.53,broken clouds
201,Uhlove,UA,44.8215,33.6045,75.56,61,0,4.41,clear sky
202,Taoudenni,ML,22.6783,-3.9836,97.34,28,83,14.16,broken clouds
203,Kaohsiung,TW,22.6163,120.3133,82.35,96,90,1.99,light intensity shower rain
204,Nanortalik,GL,60.1432,-45.2371,45.7,93,100,7.67,moderate rain
205,Bata,GQ,1.8639,9.7658,75.72,86,98,8.72,light rain
206,Nizwa,OM,22.9333,57.5333,89.73,40,100,3.27,overcast clouds
207,Mount Gambier,AU,-37.8333,140.7667,58.91,55,40,24.16,scattered clouds
208,Mentakab,MY,3.4865,102.3516,91.47,53,76,1.41,broken clouds
209,Boyolangu,ID,-8.1181,111.8935,80.24,76,82,11.34,broken clouds
210,Tagawa,JP,33.6333,130.8,94.57,72,83,4.79,broken clouds
211,Chokurdakh,RU,70.6333,147.9167,51.04,47,30,7.05,scattered clouds
212,Sangin,AF,32.0728,64.8359,86.02,12,0,4.9,clear sky
213,Oksfjord,NO,70.2396,22.3479,47.32,78,77,6.22,broken clouds
214,Olafsvik,IS,64.8945,-23.7142,53.26,89,80,3.36,broken clouds
215,Cortez,US,37.3489,-108.5859,70.56,67,75,3.44,broken clouds
216,Port-Gentil,GA,-0.7193,8.7815,76.59,78,100,11.7,overcast clouds
217,Imbituba,BR,-28.24,-48.6703,60.69,88,50,7.65,scattered clouds
218,Laguna,US,38.421,-121.4238,85.82,55,1,7.0,clear sky
219,Manta,EC,-0.95,-80.7333,73.18,88,90,11.5,overcast clouds
220,Lagoa,PT,39.05,-27.9833,71.94,94,100,13.24,overcast clouds
221,Ancud,CL,-41.8697,-73.8203,47.73,89,100,3.22,overcast clouds
222,Neuquen,AR,-38.9516,-68.0591,35.49,87,0,3.44,clear sky
223,Luderitz,NA,-26.6481,15.1594,62.56,36,0,6.64,clear sky
224,Alpena,US,45.0617,-83.4327,65.1,82,75,3.44,broken clouds
225,Fairbanks,US,64.8378,-147.7164,76.1,61,20,0.0,few clouds
226,San Vicente,AR,-26.6167,-54.1333,46.02,84,0,2.62,clear sky
227,Payo,ID,-3.7508,103.6372,86.74,60,74,2.68,broken clouds
228,Saint-Augustin,CA,51.226,-58.6502,55.2,84,96,9.6,overcast clouds
229,Kidal,ML,18.4411,1.4078,84.67,42,100,14.12,overcast clouds
230,Neryungri,RU,56.6709,124.6491,55.08,92,100,7.36,overcast clouds
231,Faanui,PF,-16.4833,-151.75,77.9,71,24,14.72,few clouds
232,Carutapera,BR,-1.195,-46.02,72.1,89,60,2.3,broken clouds
233,Severo-Kurilsk,RU,50.6789,156.125,57.7,67,22,13.6,few clouds
234,Sterling,US,39.0062,-77.4286,70.9,93,40,3.0,scattered clouds
235,Nedelino,BG,41.45,25.0833,68.22,48,0,4.43,clear sky
236,Vardo,NO,70.3705,31.1107,48.4,93,100,17.36,light rain
237,Half Moon Bay,US,37.4636,-122.4286,67.57,78,20,13.8,few clouds
238,Astana,KZ,51.1801,71.446,78.75,53,0,2.24,clear sky
239,Quang Ngai,VN,15.1167,108.8,93.56,46,100,3.65,overcast clouds
240,Souillac,MU,-20.5167,57.5167,68.36,71,3,13.22,clear sky
241,Mosetse,BW,-20.75,26.65,52.11,50,0,5.7,clear sky
242,Te Anau,NZ,-45.4167,167.7167,46.35,90,100,2.66,light rain
243,Diban,SY,35.0365,40.5167,88.34,26,0,6.06,clear sky
244,College,US,64.8569,-147.8028,76.66,60,75,4.61,broken clouds
245,Saint-Philippe,RE,-21.3585,55.7679,69.35,74,38,8.48,scattered clouds
246,Saint George,US,37.1041,-113.5841,91.63,32,1,4.0,clear sky
247,Ketchikan,US,55.3422,-131.6461,64.87,77,1,5.75,clear sky
248,Guerrero,MX,17.6667,-100.0,68.23,90,100,5.3,overcast clouds
249,Russell,US,32.3502,-85.1999,79.83,93,1,3.44,clear sky
250,Kavieng,PG,-2.5744,150.7967,82.81,78,9,10.58,light rain
251,Burgeo,CA,47.6167,-57.6152,56.88,93,27,3.42,scattered clouds
252,Kansanshi,ZM,-12.0951,26.4273,49.84,81,9,3.67,clear sky
253,Tubuala,PA,9.5167,-79.0333,79.34,86,100,4.83,overcast clouds
254,Hami,CN,42.8,93.45,80.44,23,3,2.26,clear sky
255,Kirkuk,IQ,35.4681,44.3922,93.11,25,3,14.92,clear sky
256,Ambilobe,MG,-13.2,49.05,69.64,73,15,2.64,few clouds
257,Kiunga,PG,-6.1219,141.2906,83.93,67,94,3.94,overcast clouds
258,Svetogorsk,RU,61.1121,28.8632,58.35,93,100,7.54,overcast clouds
259,Rawlins,US,41.7911,-107.2387,69.69,33,1,13.8,clear sky
260,Walvis Bay,NA,-22.9575,14.5053,72.09,25,0,13.67,clear sky
261,Russellville,US,35.2784,-93.1338,76.73,92,75,0.0,broken clouds
262,Riberalta,BO,-10.9833,-66.1,72.99,40,0,5.75,clear sky
263,Okrika,NG,4.7416,7.0849,73.71,90,48,3.6,scattered clouds
264,Ati,TD,13.2154,18.3353,75.74,80,99,7.49,overcast clouds
265,Santa Maria,BR,-29.6842,-53.8069,47.5,92,0,2.3,clear sky
266,Ostrovnoy,RU,68.0531,39.5131,54.73,73,33,10.16,scattered clouds
267,Saryg-Sep,RU,51.5,95.6,68.34,49,95,3.83,overcast clouds
268,Aktau,KZ,43.65,51.2,84.78,30,1,5.55,clear sky
269,Ostersund,SE,63.1792,14.6357,47.61,87,40,8.05,scattered clouds
270,Darhan,MN,49.4867,105.9228,70.93,71,100,9.73,overcast clouds
271,Leua,SK,48.2156,18.6071,64.49,85,58,11.05,broken clouds
272,Casale Monferrato,IT,45.1334,8.4571,64.83,90,61,1.12,broken clouds
273,Bad Windsheim,DE,49.5,10.4167,57.15,86,20,5.75,few clouds
274,Vestmanna,FO,62.1564,-7.1664,45.52,87,90,1.14,overcast clouds
275,Nsanje,MW,-16.92,35.262,58.15,89,0,0.45,clear sky
